Date,Active_Signals,Avg_Alpha_Magnitude,Avg_Confidence,Signal_Dispersion,Max_Alpha,Min_Alpha,Fallback_Count
2020-02-10,15,0.01567024272632102,0.11813886667808805,0.02173998837291581,0.05,-0.025,4
2020-03-11,15,0.016701594140039324,0.05201610836100172,0.025669745395130852,0.05,-0.05,1
2020-04-09,15,0.017054405410938635,0.0917901809047836,0.02592595994258172,0.05,-0.04434005229631179,3
2020-05-11,15,0.024813493497966747,0.13564704174331946,0.028927713178388388,0.05,-0.05,5
2020-06-10,14,0.027725359210832332,,,0.05,-0.05,3
2020-07-10,15,0.02456279800595016,0.08156773058633676,0.03034046832393205,0.05,-0.05,2
2020-08-10,15,0.02797955393707085,0.10402350279390657,0.03395193814774144,0.05,-0.05,3
2020-09-09,15,0.029225406753766163,0.08890528685128385,0.03320398393820156,0.05,-0.05,3
2020-10-08,15,0.02445338516793751,0.056999477292229074,0.029450948990433212,0.05,-0.05,1
2020-11-06,15,0.0195241973873338,0.053255317176109755,0.026435245866040232,0.05,-0.05,1
2020-12-08,14,0.021549363158281258,,,0.05,-0.05,4
2021-01-08,14,0.020292189070132426,,,0.05,-0.05,3
2021-02-09,14,0.022836958471526413,,,0.05,-0.05,3
2021-03-11,14,0.019268321579971406,,,0.05,-0.05,4
2021-04-12,14,0.023102528992729358,,,0.05,-0.05,5
2021-05-11,15,0.017358506788416102,0.10222759545309287,0.024120183265797283,0.04710144613419374,-0.05,4
2021-06-10,14,0.022929306422510093,,,0.04853489841056189,-0.05,5
2021-07-12,14,0.019155356810131093,,,0.05,-0.05,3
2021-08-10,13,0.013429897708889868,,,0.01817245238559706,-0.05,5
2021-09-09,14,0.015032625411909825,,,0.05,-0.05,3
2021-10-08,14,0.01187532482309416,,,0.025,-0.05,3
2021-11-08,13,0.01752088679585271,,,0.05,-0.05,3
2021-12-08,15,0.021840988890792588,0.08111443077920878,0.02959768957510532,0.05,-0.05,2
2022-01-07,13,0.02544829353505149,,,0.05,-0.05,4
2022-02-08,14,0.023187423806863817,,,0.05,-0.05,3
2022-03-10,15,0.016880580005149613,0.057219698685200486,0.023856663597531066,0.05,-0.05,1
2022-04-08,15,0.012362954473204561,0.0717568258785579,0.018345509851309668,0.03855930301538013,-0.025,2
2022-05-10,15,0.013208013237248805,0.07262798030715727,0.021243003337185686,0.05,-0.030679244592216624,2
2022-06-09,14,0.017185889157690086,,,0.05,-0.05,2
2022-07-12,15,0.014145526164491325,0.059439923704666775,0.023039734005660763,0.05,-0.04586428547693006,1
2022-08-10,15,0.019037323389354786,0.07134999038163228,0.026099688577305154,0.05,-0.04781668737401028,2
2022-09-09,14,0.022353414625842335,,,0.05,-0.03627804932566787,5
2022-10-10,15,0.019481644457923546,0.09368099740413259,0.026205061095169638,0.05,-0.048332349860629016,3
2022-11-08,14,0.01891857812297656,,,0.05,-0.03612331235808264,3
2022-12-08,15,0.0227089440450748,0.06870034768431695,0.031009943229294457,0.05,-0.05,2
2023-01-10,14,0.02060335181998659,,,0.05,-0.04654876892736537,4
2023-02-09,15,0.022216967760783742,0.0679253024666033,0.02883999949209847,0.05,-0.04894544430282317,2
2023-03-13,15,0.016893488706676316,0.12238010977940252,0.020531608244832123,0.05,-0.025,5
2023-04-12,15,0.025293401362505637,0.09612346584667834,0.032185410844824125,0.05,-0.05,3
2023-05-11,15,0.02080726612726059,0.049424476313533215,0.029635786617798265,0.05,-0.05,1
2023-06-12,14,0.02100711547887723,,,0.05,-0.05,4
2023-07-13,15,0.016858149246817868,0.10404908863047989,0.02273112093375521,0.05,-0.03977224441042632,4
2023-08-11,14,0.017471463265762526,,,0.05,-0.02541132127299268,4
2023-09-12,15,0.020200186019843667,0.0715063488297569,0.026691840277107963,0.05,-0.05,2
2023-10-11,15,0.027495781241030644,0.0788811538266089,0.03457135530664096,0.05,-0.05,2
2023-11-09,14,0.025995667307620412,,,0.05,-0.05,3
2023-12-11,15,0.02467281212237265,0.07083826923135486,0.030272198083903638,0.05,-0.05,2
2024-01-11,14,0.019679048766363484,,,0.03983585481002607,-0.05,4
2024-02-12,14,0.02225381740902709,,,0.05,-0.04897513477654096,2
2024-03-13,13,0.027391979995867156,,,0.05,-0.05,4
2024-04-12,14,0.023412475847506314,,,0.05,-0.05,4
2024-05-13,15,0.020840634296791213,0.054535585944103536,0.027875955339317634,0.05,-0.05,1
2024-06-12,14,0.022601855316461982,,,0.05,-0.05,2
2024-07-15,14,0.014392843393367119,,,0.05,-0.05,1
2024-08-13,13,0.024737509524593082,,,0.05,-0.05,4
2024-09-12,14,0.018330228821167683,,,0.05,-0.05,1
2024-10-11,13,0.02303221447290901,,,0.05,-0.05,5
2024-11-11,14,0.016621164236116932,,,0.05,-0.05,3
2024-12-11,15,0.016007821699486408,0.08824993056005552,0.023321958245899735,0.05,-0.05,3
